Class Name	Source Section	Methods Executed
AValue	LanguageFeatures.ns pos=11593 len=73	0
AbstractConstraint	DeltaBlue.ns pos=14695 len=4592	6
Actors	Actors.ns pos=0 len=8626	1
AllBenchmarks	AllSmall.ns pos=0 len=5093	10
ArgumentError	Kernel.ns pos=29461 len=186	0
ArrayReadMixin	Kernel.ns pos=15167 len=2145	5
Array	Kernel.ns pos=17316 len=2221	4
Ball	Bounce.ns pos=1713 len=697	2
BasicInputStream	Streams.ns pos=2320 len=3112	0
BasicReadStream	Streams.ns pos=5809 len=2642	0
BasicReadWriteStream	Streams.ns pos=8845 len=1551	0
Benchmark	Harness.ns pos=1452 len=614	2
BinaryConstraint	DeltaBlue.ns pos=19291 len=3323	8
Block	Kernel.ns pos=20158 len=1627	2
Body	NBody.ns pos=3120 len=2478	2
Boolean	Kernel.ns pos=4239 len=345	0
Bounce	Bounce.ns pos=0 len=2513	3
Bounce	Bounce.ns pos=1264 len=445	2
BubbleSort	Sort.ns pos=2493 len=516	2
ChannelInput	Processes.ns pos=2183 len=201	0
ChannelOutput	Processes.ns pos=2707 len=211	0
Channel	Processes.ns pos=1619 len=243	0
CharacterInputConverter	Streams.ns pos=10483 len=2888	0
CharacterInputOutputConverter	Streams.ns pos=13374 len=855	0
CharacterOutputConverter	Streams.ns pos=14733 len=944	0
CharacterOutput	Streams.ns pos=14310 len=420	0
CharacterReadConverter	Streams.ns pos=15840 len=1789	0
ClassDefinitionMirror	Mirrors.ns pos=2683 len=904	0
ClassMirror	Mirrors.ns pos=1154 len=1525	0
Class	Kernel.ns pos=4024 len=172	0
ClosureDefFibonacci	LanguageFeatures.ns pos=1949 len=484	0
ClosureFibonacci	LanguageFeatures.ns pos=2437 len=473	0
Collections	Collections.ns pos=0 len=8953	1
Condition	Threading.ns pos=1518 len=464	0
Delay	Threading.ns pos=1986 len=312	0
DeltaBlue	DeltaBlue.ns pos=0 len=30153	3
DeltaBlue	DeltaBlue.ns pos=613 len=214	1
DeviceTaskDataRecord	Richards.ns pos=9770 len=78	1
Dictionary	Collections.ns pos=3791 len=4681	10
DispatchNoArg	LanguageFeatures.ns pos=10177 len=371	3
DispatchPerformNoArg	LanguageFeatures.ns pos=11068 len=452	3
Dispatch	LanguageFeatures.ns pos=9782 len=391	3
Double	Kernel.ns pos=9151 len=1937	0
EditConstraint	DeltaBlue.ns pos=22618 len=491	3
EmptyCollectionException	Kernel.ns pos=28962 len=156	0
Entry	Collections.ns pos=3911 len=279	2
EqualityConstraint	DeltaBlue.ns pos=23113 len=500	2
Exception	Kernel.ns pos=28487 len=319	1
Exceptions	LanguageFeatures.ns pos=6442 len=644	6
ExternalInputStream	Streams.ns pos=17632 len=2005	0
ExternalOutputStream	Streams.ns pos=19640 len=1580	0
ExternalReadStream	Streams.ns pos=21391 len=2172	0
ExternalReadWriteStream	Streams.ns pos=23639 len=1624	0
ExternalStream	Streams.ns pos=25573 len=1648	0
False	Kernel.ns pos=4947 len=356	0
FannkuchBenchmark	Fannkuch.ns pos=1511 len=255	1
Fannkuch	Fannkuch.ns pos=0 len=3834	4
Fannkuch	Fannkuch.ns pos=1770 len=1514	5
FarReference	Actors.ns pos=1589 len=827	0
Fibonacci	LanguageFeatures.ns pos=1491 len=454	3
FieldLoop	LanguageFeatures.ns pos=3295 len=1342	3
FieldWriteToEscapedObject	LanguageFeatures.ns pos=13091 len=380	0
FieldWrite	LanguageFeatures.ns pos=4641 len=395	2
FileDescriptor	Files.ns pos=2670 len=2419	0
FileNotFoundException	Files.ns pos=20704 len=375	0
FilePath	Files.ns pos=14010 len=6430	0
FilePattern	Files.ns pos=5758 len=8119	0
Files	Files.ns pos=0 len=21412	1
GCBench	GCBench.ns pos=0 len=5789	3
GCBench	GCBench.ns pos=2952 len=2571	7
HandlerTaskDataRecord	Richards.ns pos=9852 len=422	3
Harness	Harness.ns pos=0 len=8627	1
HashIndexTable	Json.ns pos=34782 len=827	4
IOException	Files.ns pos=20444 len=256	0
IdEntry	Collections.ns pos=8549 len=218	0
IdentityDictionary	Collections.ns pos=8476 len=475	0
IdentitySet	Collections.ns pos=3561 len=226	0
IdleTaskDataRecord	Richards.ns pos=10278 len=103	1
IndexOutOfBounds	Kernel.ns pos=28810 len=148	0
InstantiatePrimValueObject	LanguageFeatures.ns pos=11524 len=426	0
InstantiateValueValueObjectFewer	LanguageFeatures.ns pos=12610 len=411	0
InstantiateValueValueObject	LanguageFeatures.ns pos=12117 len=396	0
IntegerLoop	LanguageFeatures.ns pos=5040 len=362	2
Integer	Kernel.ns pos=5784 len=3363	9
JenkinsRandom	Harness.ns pos=2272 len=1646	0
JsonArray	Json.ns pos=37726 len=1722	5
JsonLiteral	Json.ns pos=39452 len=619	1
JsonNumber	Json.ns pos=40075 len=583	1
JsonObject	Json.ns pos=40662 len=3549	6
JsonParser	Json.ns pos=26801 len=7976	26
JsonString	Json.ns pos=44215 len=392	1
JsonValue	Json.ns pos=35900 len=1822	0
Json	Json.ns pos=0 len=44709	3
Json	Json.ns pos=445 len=26352	2
Kernel	Kernel.ns pos=0 len=30872	0
LanguageFeaturesSuite	LanguageFeatures.ns pos=0 len=15559	1
ListElement	List.ns pos=2357 len=178	2
List	List.ns pos=0 len=2636	3
List	List.ns pos=1179 len=1174	5
Loop	LanguageFeatures.ns pos=5406 len=545	3
Mandelbrot	Mandelbrot.ns pos=0 len=4659	3
Mandelbrot	Mandelbrot.ns pos=2357 len=2193	3
MessageNotUnderstood	Kernel.ns pos=29122 len=335	0
Metaclass	Kernel.ns pos=4200 len=35	0
MethodMirror	Mirrors.ns pos=4643 len=382	0
Mirrors	Mirrors.ns pos=0 len=5027	1
Mutex	Threading.ns pos=2302 len=520	0
NBodySystem	NBody.ns pos=902 len=2214	4
NBody	NBody.ns pos=0 len=5704	3
NBody	NBody.ns pos=369 len=529	1
Nil	Kernel.ns pos=5307 len=473	0
NoReportingRun	AllSmall.ns pos=1411 len=162	1
Node	GCBench.ns pos=5527 len=158	1
NonLocalReturn	LanguageFeatures.ns pos=5955 len=483	6
NotAValue	Kernel.ns pos=29738 len=482	0
ObjWithOneMutableField	LanguageFeatures.ns pos=13025 len=62	0
ObjectLiterals2	LanguageFeatures.ns pos=14668 len=422	4
ObjectLiterals3	LanguageFeatures.ns pos=15094 len=463	3
ObjectLiterals	LanguageFeatures.ns pos=14280 len=384	2
ObjectMirror	Mirrors.ns pos=3591 len=1011	2
Object	Kernel.ns pos=2911 len=155	0
OuterConstLoop	LanguageFeatures.ns pos=2914 len=377	2
Packet	Richards.ns pos=10385 len=484	1
Pair	Actors.ns pos=3460 len=373	0
Pair	Kernel.ns pos=21789 len=253	0
ParseException	Json.ns pos=35613 len=283	0
Permute	Permute.ns pos=0 len=1947	3
Permute	Permute.ns pos=1227 len=616	4
Plan	DeltaBlue.ns pos=831 len=345	2
Planner	DeltaBlue.ns pos=1180 len=10670	11
Platform	Platform.ns pos=0 len=1863	2
PolyMorphicBlocks	LanguageFeatures.ns pos=13475 len=801	0
Process	Processes.ns pos=1196 len=194	0
Processes	Processes.ns pos=0 len=3284	1
PromiseGroup	Actors.ns pos=3837 len=1403	0
Promise	Actors.ns pos=2420 len=742	0
Queens	Queens.ns pos=0 len=2435	3
Queens	Queens.ns pos=1224 len=1108	6
QuickSort	Sort.ns pos=3013 len=931	3
RBObject	Richards.ns pos=9327 len=325	1
Random	Harness.ns pos=2070 len=198	2
Recurse	LanguageFeatures.ns pos=7090 len=371	3
Resolver	Actors.ns pos=3166 len=290	0
ReturnEx	LanguageFeatures.ns pos=6486 len=88	1
RichardsBenchmarks	Richards.ns pos=706 len=8617	15
Richards	Richards.ns pos=0 len=13798	3
Richards	Richards.ns pos=542 len=160	2
Run	Harness.ns pos=3922 len=2247	3
ScaleConstraint	DeltaBlue.ns pos=23617 len=2447	5
