Name	Executed	Execution Count
Method(AbstractConstraint>>#addConstraint:)	true	6600
Method(AbstractConstraint>>#addToGraph)	false	0
Method(AbstractConstraint>>#chooseMethod:)	false	0
Method(AbstractConstraint>>#destroyConstraint:)	true	500
Method(AbstractConstraint>>#execute)	false	0
Method(AbstractConstraint>>#inputsDo:)	false	0
Method(AbstractConstraint>>#inputsKnown:)	true	6700
Method(AbstractConstraint>>#isInput)	true	2400
Method(AbstractConstraint>>#isSatisfied)	false	0
Method(AbstractConstraint>>#markUnsatisfied)	false	0
Method(AbstractConstraint>>#output)	false	0
Method(AbstractConstraint>>#recalculate)	false	0
Method(AbstractConstraint>>#removeFromGraph)	false	0
Method(AbstractConstraint>>#satisfy:propagate:)	true	13400
Method(Actors>>#after:do:)	false	0
Method(Actors>>#async:do:)	false	0
Method(Actors>>#async:do:next:prevPromise:completionResolver:)	false	0
Method(Actors>>#async:to:do:)	false	0
Method(Actors>>#async:to:do:prevPromise:completionResolver:)	false	0
Method(Actors>>#async:whileTrue:)	false	0
Method(Actors>>#async:whileTrue:prevPromise:completionResolver:)	false	0
Method(Actors>>#createActorFromValue:)	false	0
Method(Actors>>#createPromisePair)	false	0
Method(AllBenchmarks>>#all)	true	1
Method(AllBenchmarks>>#createRun:named:numIter:)	true	36
Method(AllBenchmarks>>#loadModule:)	true	36
Method(AllBenchmarks>>#main:)	true	1
Method(AllBenchmarks>>#printTotal)	true	1
Method(AllBenchmarks>>#report:)	true	36
Method(AllBenchmarks>>#run:in:numIter:)	true	22
Method(AllBenchmarks>>#run:numIter:)	true	14
Method(AllBenchmarks>>#runAll)	true	1
Method(ArgumentError>>#asString)	false	0
Method(ArrayReadMixin>>#average)	false	0
Method(ArrayReadMixin>>#collect:)	false	0
Method(ArrayReadMixin>>#contains:)	false	0
Method(ArrayReadMixin>>#do:)	true	255807
Method(ArrayReadMixin>>#doIndexes:)	true	401289
Method(ArrayReadMixin>>#first)	true	10100
Method(ArrayReadMixin>>#from:to:do:)	true	20160
Method(ArrayReadMixin>>#indexOf:)	false	0
Method(ArrayReadMixin>>#inject:into:)	false	0
