Source Section	Access Type	Data Type	Count
AllSmall.ns pos=1537 len=14	read	Bounce	1
AllSmall.ns pos=1537 len=14	read	DeltaBlue	1
AllSmall.ns pos=1537 len=14	read	GCBench	1
AllSmall.ns pos=1537 len=14	read	Json	1
AllSmall.ns pos=1537 len=14	read	Dispatch class	1
AllSmall.ns pos=1537 len=14	read	DispatchNoArg class	1
AllSmall.ns pos=1537 len=14	read	DispatchPerformNoArg class	1
AllSmall.ns pos=1537 len=14	read	Exceptions class	1
AllSmall.ns pos=1537 len=14	read	Fibonacci class	1
AllSmall.ns pos=1537 len=14	read	FieldLoop class	1
AllSmall.ns pos=1537 len=14	read	FieldWrite class	1
AllSmall.ns pos=1537 len=14	read	IntegerLoop class	1
AllSmall.ns pos=1537 len=14	read	Loop class	1
AllSmall.ns pos=1537 len=14	read	NonLocalReturn class	1
AllSmall.ns pos=1537 len=14	read	ObjectLiterals class	1
AllSmall.ns pos=1537 len=14	read	ObjectLiterals2 class	1
AllSmall.ns pos=1537 len=14	read	ObjectLiterals3 class	1
AllSmall.ns pos=1537 len=14	read	OuterConstLoop class	1
AllSmall.ns pos=1537 len=14	read	Recurse class	1
AllSmall.ns pos=1537 len=14	read	Sum class	1
AllSmall.ns pos=1537 len=14	read	VectorRead class	1
AllSmall.ns pos=1537 len=14	read	WhileLoop class	1
AllSmall.ns pos=1537 len=14	read	WhileLoopPoly class	1
AllSmall.ns pos=1537 len=14	read	List	1
AllSmall.ns pos=1537 len=14	read	Mandelbrot	1
AllSmall.ns pos=1537 len=14	read	NBody	1
AllSmall.ns pos=1537 len=14	read	Permute	1
AllSmall.ns pos=1537 len=14	read	Queens	1
AllSmall.ns pos=1537 len=14	read	Richards	1
AllSmall.ns pos=1537 len=14	read	Sieve	1
AllSmall.ns pos=1537 len=14	read	BubbleSort class	1
AllSmall.ns pos=1537 len=14	read	QuickSort class	1
AllSmall.ns pos=1537 len=14	read	TreeSort class	1
AllSmall.ns pos=1537 len=14	read	Storage	1
AllSmall.ns pos=1537 len=14	read	Towers	1
AllSmall.ns pos=1537 len=14	read	ALL	35
AllSmall.ns pos=3743 len=6	read	System	35
AllSmall.ns pos=3743 len=6	read	ALL	35
AllSmall.ns pos=3806 len=8	read	Platform	35
AllSmall.ns pos=3806 len=8	read	ALL	35
AllSmall.ns pos=3827 len=7	read	Harness	35
AllSmall.ns pos=3827 len=7	read	ALL	35
AllSmall.ns pos=3959 len=12	read	ObjectMirror class	21
AllSmall.ns pos=3959 len=12	read	ALL	21
AllSmall.ns pos=4628 len=4	read	String	35
AllSmall.ns pos=4628 len=4	read	ALL	35
AllSmall.ns pos=4672 len=13	read	Integer	35
AllSmall.ns pos=4672 len=13	read	ALL	35
AllSmall.ns pos=4713 len=5	read	Integer	35
AllSmall.ns pos=4713 len=5	read	ALL	35
AllSmall.ns pos=4789 len=5	read	Integer	35
AllSmall.ns pos=4789 len=5	read	ALL	35
AllSmall.ns pos=4802 len=13	read	Integer	35
AllSmall.ns pos=4802 len=13	read	ALL	35
AllSmall.ns pos=4872 len=14	read	Double	35
AllSmall.ns pos=4872 len=14	read	ALL	35
AllSmall.ns pos=4894 len=5	read	Integer	35
AllSmall.ns pos=4894 len=5	read	ALL	35
AllSmall.ns pos=4907 len=13	read	Integer	35
AllSmall.ns pos=4907 len=13	read	ALL	35
Bounce.ns pos=1369 len=6	read	Random class	99
Bounce.ns pos=1369 len=6	read	ALL	99
Bounce.ns pos=1438 len=5	read	Array class	99
Bounce.ns pos=1438 len=5	read	ALL	99
Bounce.ns pos=2021 len=1	read	Integer	499999
Bounce.ns pos=2021 len=1	read	ALL	499999
Bounce.ns pos=2025 len=4	read	Integer	499999
Bounce.ns pos=2025 len=4	read	ALL	499999
Bounce.ns pos=2041 len=1	read	Integer	499999
Bounce.ns pos=2041 len=1	read	ALL	499999
Bounce.ns pos=2045 len=4	read	Integer	499999
Bounce.ns pos=2045 len=4	read	ALL	499999
Bounce.ns pos=2057 len=1	read	Integer	499999
Bounce.ns pos=2057 len=1	read	ALL	499999
Bounce.ns pos=2109 len=4	read	Integer	35799
