Source Section	Loop Activations	Num Iterations
Collections.ns pos=4677 len=100	TOTAL	6611
Collections.ns pos=5724 len=297	TOTAL	2
Collections.ns pos=7815 len=83	0	9
Collections.ns pos=7815 len=83	1	6
Collections.ns pos=7815 len=83	2	1
Collections.ns pos=7815 len=83	TOTAL	16
DeltaBlue.ns pos=2664 len=77	0	6300
DeltaBlue.ns pos=2664 len=77	1	200
DeltaBlue.ns pos=2664 len=77	2	100
DeltaBlue.ns pos=2664 len=77	20	200
DeltaBlue.ns pos=2664 len=77	21	100
DeltaBlue.ns pos=2664 len=77	TOTAL	6900
DeltaBlue.ns pos=5697 len=321	2	200
DeltaBlue.ns pos=5697 len=321	21	300
DeltaBlue.ns pos=5697 len=321	TOTAL	500
DeltaBlue.ns pos=7459 len=219	1	12700
DeltaBlue.ns pos=7459 len=219	2	200
DeltaBlue.ns pos=7459 len=219	21	200
DeltaBlue.ns pos=7459 len=219	TOTAL	13100
DeltaBlue.ns pos=9281 len=240	2	200
DeltaBlue.ns pos=9281 len=240	21	300
DeltaBlue.ns pos=9281 len=240	TOTAL	500
Fannkuch.ns pos=2033 len=266	0	2880
Fannkuch.ns pos=2033 len=266	1	2880
Fannkuch.ns pos=2033 len=266	2	2880
Fannkuch.ns pos=2033 len=266	3	2592
Fannkuch.ns pos=2033 len=266	4	2192
Fannkuch.ns pos=2033 len=266	5	1760
Fannkuch.ns pos=2033 len=266	6	1352
Fannkuch.ns pos=2033 len=266	7	1072
Fannkuch.ns pos=2033 len=266	8	872
Fannkuch.ns pos=2033 len=266	9	640
Fannkuch.ns pos=2033 len=266	10	416
Fannkuch.ns pos=2033 len=266	11	260
Fannkuch.ns pos=2033 len=266	12	176
Fannkuch.ns pos=2033 len=266	13	104
Fannkuch.ns pos=2033 len=266	14	56
Fannkuch.ns pos=2033 len=266	15	20
Fannkuch.ns pos=2033 len=266	16	8
Fannkuch.ns pos=2033 len=266	TOTAL	20160
Fannkuch.ns pos=3060 len=102	5040	4
Fannkuch.ns pos=3060 len=102	TOTAL	4
Json.ns pos=28733 len=58	0	137
Json.ns pos=28733 len=58	1	2
Json.ns pos=28733 len=58	2	119
Json.ns pos=28733 len=58	3	31
Json.ns pos=28733 len=58	4	15
Json.ns pos=28733 len=58	5	2
Json.ns pos=28733 len=58	6	122
Json.ns pos=28733 len=58	7	5
Json.ns pos=28733 len=58	9	119
Json.ns pos=28733 len=58	TOTAL	552
Json.ns pos=29450 len=65	0	17
Json.ns pos=29450 len=65	1	5
Json.ns pos=29450 len=65	3	120
Json.ns pos=29450 len=65	4	3
Json.ns pos=29450 len=65	5	10
Json.ns pos=29450 len=65	6	1
Json.ns pos=29450 len=65	8	1
Json.ns pos=29450 len=65	TOTAL	157
Json.ns pos=30546 len=379	1	210
Json.ns pos=30546 len=379	2	238
Json.ns pos=30546 len=379	3	195
Json.ns pos=30546 len=379	4	174
Json.ns pos=30546 len=379	5	264
Json.ns pos=30546 len=379	6	312
Json.ns pos=30546 len=379	7	38
Json.ns pos=30546 len=379	8	80
Json.ns pos=30546 len=379	9	47
Json.ns pos=30546 len=379	10	51
Json.ns pos=30546 len=379	11	13
Json.ns pos=30546 len=379	12	14
Json.ns pos=30546 len=379	13	7
Json.ns pos=30546 len=379	14	2
Json.ns pos=30546 len=379	15	118
Json.ns pos=30546 len=379	16	43
Json.ns pos=30546 len=379	17	4
Json.ns pos=30546 len=379	18	1
Json.ns pos=30546 len=379	20	125
Json.ns pos=30546 len=379	21	5
Json.ns pos=30546 len=379	22	6
Json.ns pos=30546 len=379	28	1
Json.ns pos=30546 len=379	149	1
Json.ns pos=30546 len=379	TOTAL	1949
Json.ns pos=31867 len=13	0	31
Json.ns pos=31867 len=13	1	190
