Source Identifier	Activation Count
Actors>>#usingVmMirror:usingKernel:	1
_unknown_>>#`define`cls	1
Actors>>#initializer`usingVmMirror:usingKernel:	1
Actors>>#`define`cls	1
Actors>>#`define`cls	1
Actors>>#`define`cls	1
Actors>>#`define`cls	1
AllBenchmarks>>#usingPlatform:	1
_unknown_>>#`define`cls	1
AllBenchmarks>>#initializer`usingPlatform:	1
NoReportingRun>>#new	36
AllBenchmarks>>#`define`cls	1
NoReportingRun>>#runBenchmark	36
AllBenchmarks>>#all	1
AllBenchmarks>>#loadModule:	36
AllBenchmarks>>#run:in:numIter:	22
AllBenchmarks>>#run:numIter:	14
AllBenchmarks>>#createRun:named:numIter:	36
AllBenchmarks>>#runAll	1
AllBenchmarks>>#λrunAll@112@13:	36
AllBenchmarks>>#report:	36
AllBenchmarks>>#printTotal	1
AllBenchmarks>>#main:	1
Bounce>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
Bounce>>#initializer`usingPlatform:andHarness:	1
Bounce>>#new	1
Bounce>>#`define`cls	1
Bounce>>#benchmark	100
Bounce>>#λbenchmark@36@45	10000
Bounce>>#λbenchmark@38@20:	5000
Bounce>>#λλbenchmark@38@20@39@19:	500000
Bounce>>#verifyResult:	100
Ball>>#new:	10000
Bounce>>#`define`cls	1
Ball>>#initializer`new:	10000
Ball>>#bounce	500000
Bounce>>#newInstance	1
Bounce>>#setupVerifiedRun:	1
Collections>>#usingKernel:	1
_unknown_>>#`define`cls	1
Collections>>#initializer`usingKernel:	1
Dictionary_class>>#new:	2
Collections>>#`define`cls	1
Dictionary_class>>#initializer`new:	2
Entry>>#new:key:value:next:	16
Dictionary>>#`define`cls	2
Entry>>#initializer`new:key:value:next:	16
Entry>>#match:key:	7114
Dictionary>>#hash:	6627
Dictionary>>#bucketIdx:	6627
Dictionary>>#bucket:	6611
Dictionary>>#at:	6611
Dictionary>>#at:ifAbsent:	6611
Dictionary>>#at:put:	16
Dictionary>>#newEntry:value:hash:	16
Dictionary>>#insertBucketEntry:value:hash:head:	2
Dictionary>>#keys	1
Dictionary>>#λkeys@297@19:	16
Dictionary_class>>#new	2
DeltaBlue>>#usingPlatform:andHarness:	1
_unknown_>>#`define`cls	1
DeltaBlue>>#initializer`usingPlatform:andHarness:	1
DeltaBlue>>#new	1
DeltaBlue>>#`define`cls	1
