Source Section	Call Count	Num Rcvrs	Num Targets
Actors.ns pos=1084 len=43	0	0	0
Actors.ns pos=1130 len=5	0	0	0
Actors.ns pos=1136 len=0	0	0	0
Actors.ns pos=1199 len=9	0	0	0
Actors.ns pos=1239 len=6	0	0	0
Actors.ns pos=1393 len=37	0	0	0
Actors.ns pos=1418 len=12	0	0	0
Actors.ns pos=1443 len=28	0	0	0
Actors.ns pos=1464 len=7	0	0	0
Actors.ns pos=1484 len=25	0	0	0
Actors.ns pos=1505 len=4	0	0	0
Actors.ns pos=1522 len=29	0	0	0
Actors.ns pos=1543 len=8	0	0	0
Actors.ns pos=1564 len=18	0	0	0
Actors.ns pos=1617 len=5	0	0	0
Actors.ns pos=2443 len=6	0	0	0
Actors.ns pos=3190 len=5	0	0	0
Actors.ns pos=3501 len=0	0	0	0
AllSmall.ns pos=1091 len=23	0	0	0
AllSmall.ns pos=1117 len=0	0	0	0
AllSmall.ns pos=1181 len=6	0	0	0
AllSmall.ns pos=1188 len=37	0	0	0
AllSmall.ns pos=1227 len=23	0	0	0
AllSmall.ns pos=1282 len=6	0	0	0
AllSmall.ns pos=1324 len=7	0	0	0
AllSmall.ns pos=1332 len=12	0	0	0
AllSmall.ns pos=1367 len=7	0	0	0
AllSmall.ns pos=1375 len=3	0	0	0
AllSmall.ns pos=1432 len=0	70	1	1
AllSmall.ns pos=1434 len=3	0	0	0
AllSmall.ns pos=1529 len=34	70	1	1
AllSmall.ns pos=1552 len=11	70	35	35
AllSmall.ns pos=1592 len=30	0	0	0
AllSmall.ns pos=1623 len=40	0	0	0
AllSmall.ns pos=1632 len=30	0	0	0
AllSmall.ns pos=1663 len=40	0	0	0
AllSmall.ns pos=1672 len=30	0	0	0
AllSmall.ns pos=1703 len=40	0	0	0
AllSmall.ns pos=1712 len=30	0	0	0
AllSmall.ns pos=1743 len=40	0	0	0
AllSmall.ns pos=1752 len=30	0	0	0
AllSmall.ns pos=1783 len=40	0	0	0
AllSmall.ns pos=1792 len=30	0	0	0
AllSmall.ns pos=1823 len=40	0	0	0
AllSmall.ns pos=1832 len=30	0	0	0
AllSmall.ns pos=1863 len=40	0	0	0
AllSmall.ns pos=1872 len=30	0	0	0
AllSmall.ns pos=1903 len=51	0	0	0
AllSmall.ns pos=1912 len=41	0	0	0
AllSmall.ns pos=1954 len=51	0	0	0
AllSmall.ns pos=1963 len=41	0	0	0
AllSmall.ns pos=2005 len=51	0	0	0
AllSmall.ns pos=2014 len=41	0	0	0
AllSmall.ns pos=2056 len=42	0	0	0
AllSmall.ns pos=2066 len=31	0	0	0
AllSmall.ns pos=2098 len=41	0	0	0
AllSmall.ns pos=2107 len=31	0	0	0
AllSmall.ns pos=2139 len=39	0	0	0
AllSmall.ns pos=2148 len=29	0	0	0
AllSmall.ns pos=2178 len=39	0	0	0
AllSmall.ns pos=2187 len=29	0	0	0
AllSmall.ns pos=2217 len=39	0	0	0
AllSmall.ns pos=2226 len=29	0	0	0
AllSmall.ns pos=2256 len=39	0	0	0
AllSmall.ns pos=2265 len=29	0	0	0
AllSmall.ns pos=2295 len=73	0	0	0
AllSmall.ns pos=2305 len=62	0	0	0
AllSmall.ns pos=2368 len=72	0	0	0
AllSmall.ns pos=2377 len=62	0	0	0
AllSmall.ns pos=2440 len=72	0	0	0
AllSmall.ns pos=2449 len=62	0	0	0
AllSmall.ns pos=2512 len=72	0	0	0
AllSmall.ns pos=2521 len=62	0	0	0
AllSmall.ns pos=2584 len=72	0	0	0
AllSmall.ns pos=2593 len=62	0	0	0
AllSmall.ns pos=2656 len=72	0	0	0
AllSmall.ns pos=2665 len=62	0	0	0
AllSmall.ns pos=2728 len=72	0	0	0
AllSmall.ns pos=2737 len=62	0	0	0
AllSmall.ns pos=2800 len=72	0	0	0
AllSmall.ns pos=2809 len=62	0	0	0
AllSmall.ns pos=2872 len=72	0	0	0
AllSmall.ns pos=2881 len=62	0	0	0
AllSmall.ns pos=2944 len=72	0	0	0
AllSmall.ns pos=2953 len=62	0	0	0
AllSmall.ns pos=3016 len=72	0	0	0
AllSmall.ns pos=3025 len=62	0	0	0
AllSmall.ns pos=3088 len=72	0	0	0
AllSmall.ns pos=3097 len=62	0	0	0
AllSmall.ns pos=3160 len=72	0	0	0
AllSmall.ns pos=3169 len=62	0	0	0
AllSmall.ns pos=3232 len=73	0	0	0
AllSmall.ns pos=3242 len=62	0	0	0
AllSmall.ns pos=3305 len=72	0	0	0
AllSmall.ns pos=3314 len=62	0	0	0
AllSmall.ns pos=3377 len=72	0	0	0
AllSmall.ns pos=3386 len=62	0	0	0
AllSmall.ns pos=3449 len=71	0	0	0
AllSmall.ns pos=3458 len=61	0	0	0
AllSmall.ns pos=3520 len=71	0	0	0
AllSmall.ns pos=3529 len=61	0	0	0
AllSmall.ns pos=3591 len=71	0	0	0
AllSmall.ns pos=3600 len=61	0	0	0
AllSmall.ns pos=3750 len=29	70	1	1
AllSmall.ns pos=3791 len=43	70	15	15
AllSmall.ns pos=3924 len=22	42	1	1
AllSmall.ns pos=3972 len=17	42	1	1
