Source Section	Operation	Category	Type	Invocations
AllSmall.ns pos=3724 len=7	+	AnyNode BasicPrimitiveOperation OpArithmetic	str	36
AllSmall.ns pos=3724 len=7	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	36
AllSmall.ns pos=4666 len=19	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	str	36
AllSmall.ns pos=4666 len=19	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	36
AllSmall.ns pos=4686 len=19	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	str	36
AllSmall.ns pos=4686 len=19	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	36
AllSmall.ns pos=4706 len=27	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	str	36
AllSmall.ns pos=4706 len=27	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	36
AllSmall.ns pos=4719 len=7	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	36
AllSmall.ns pos=4719 len=7	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	36
AllSmall.ns pos=4728 len=5	round	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	float	36
AllSmall.ns pos=4728 len=5	round	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	36
AllSmall.ns pos=4742 len=8	+	AnyNode BasicPrimitiveOperation OpArithmetic	str	36
AllSmall.ns pos=4742 len=8	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	36
AllSmall.ns pos=4781 len=50	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	str	36
AllSmall.ns pos=4781 len=50	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	36
AllSmall.ns pos=4795 len=20	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	36
AllSmall.ns pos=4795 len=20	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	36
AllSmall.ns pos=4817 len=7	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	float	36
AllSmall.ns pos=4817 len=7	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	36
AllSmall.ns pos=4826 len=5	round	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	float	36
AllSmall.ns pos=4826 len=5	round	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	36
AllSmall.ns pos=4832 len=7	+	AnyNode BasicPrimitiveOperation OpArithmetic	str	36
AllSmall.ns pos=4832 len=7	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	36
AllSmall.ns pos=4887 len=34	+	AnyNode BasicPrimitiveOperation OpArithmetic	float	35
AllSmall.ns pos=4887 len=34	+	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
AllSmall.ns pos=4887 len=34	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	36
AllSmall.ns pos=4900 len=20	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	36
AllSmall.ns pos=4900 len=20	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	36
AllSmall.ns pos=4979 len=41	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	str	1
AllSmall.ns pos=4979 len=41	+	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	1
AllSmall.ns pos=4997 len=7	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	float	1
AllSmall.ns pos=4997 len=7	//	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	1
AllSmall.ns pos=5006 len=5	round	AnyNode BasicPrimitiveOperation OpArithmetic	float	1
AllSmall.ns pos=5006 len=5	round	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
AllSmall.ns pos=5021 len=7	+	AnyNode BasicPrimitiveOperation OpArithmetic	str	1
AllSmall.ns pos=5021 len=7	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	1
Bounce.ns pos=1595 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	int	133100
Bounce.ns pos=1595 len=3	+	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	133100
Bounce.ns pos=1767 len=5	%	AnyNode BasicPrimitiveOperation OpArithmetic	int	10000
Bounce.ns pos=1767 len=5	%	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	10000
Bounce.ns pos=1801 len=5	%	AnyNode BasicPrimitiveOperation OpArithmetic	int	10000
Bounce.ns pos=1801 len=5	%	AnyNode BasicPrimitiveOperation OpArithmetic	TOTAL	10000
Bounce.ns pos=1836 len=5	%	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	int	10000
Bounce.ns pos=1836 len=5	%	AnyNode BasicPrimitiveOperation OpArithmetic PrimitiveArgument	TOTAL	10000
